Story_body,Question,Answer,Story_flow,Story_type,Question_type
Mason entered the crawlspace. Jackson entered the crawlspace. The tangerine is in the container. The container is in the crawlspace. Mason moved the tangerine to the basket. The basket is in the crawlspace. Mason likes the beans. Jackson exited the crawlspace. Mason exited the crawlspace. Mason likes the t-shirt. Jackson entered the crawlspace.,Where was the tangerine at the beginning?,container,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",memory,second_order_false_belief
Avery entered the playroom. Sophia entered the playroom. The cucumber is in the bathtub. The bathtub is in the playroom. Avery moved the cucumber to the crate. The crate is in the playroom. Lily dislikes the dress. Lily entered the den. Sophia hates the stockings. Sophia exited the playroom.,Where is the cucumber really?,crate,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters']",reality,true_belief
Chloe loves the watermelon. Ava entered the laundry. Chloe entered the laundry. Chloe hates the shoes. The tomato is in the crate. The crate is in the laundry. Chloe moved the tomato to the treasure_chest. The treasure_chest is in the laundry. Ava exited the laundry.,Where was the tomato at the beginning?,crate,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",memory,true_belief
Ethan entered the office. Sophia is in the office. The skirt is in the envelope. The envelope is in the office. Sophia exited the office. Sophia entered the office. Ethan moved the skirt to the basket. The basket is in the office.,Where will Ethan look for the skirt?,basket,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",first_order_0_no_tom,true_belief
Lucas entered the study. Logan entered the study. The shirt is in the bottle. The bottle is in the study. Logan moved the shirt to the cupboard. The cupboard is in the study. Logan dislikes the raincoat. Lucas exited the study. Ella entered the study. Ella exited the study. Logan exited the study. Lucas entered the study.,Where was the shirt at the beginning?,bottle,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_2_enters', 'agent_2_exits', 'agent_1_reenters_loc']",memory,second_order_false_belief
Avery entered the bedroom. Nathan entered the staircase. Jack entered the bedroom. The hat is in the treasure_chest. The treasure_chest is in the bedroom. Jack exited the bedroom. Avery moved the hat to the cupboard. The cupboard is in the bedroom.,Where does Avery think that Jack searches for the hat?,treasure_chest,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj']",second_order_0_tom,false_belief
Amelia entered the closet. Noah entered the closet. The belt is in the drawer. The drawer is in the closet. Logan dislikes the onion. Noah loves the suit. Noah moved the belt to the container. The container is in the closet. Logan entered the patio. Amelia exited the closet. Logan exited the patio. Amelia entered the closet.,Where is the belt really?,container,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters', 'agent_1_reenters_loc', 'agent_2_exits']",reality,true_belief
Isabella entered the TV_room. Amelia entered the TV_room. Isabella likes the underclothes. The tie is in the bucket. The bucket is in the TV_room. Isabella exited the TV_room. Amelia dislikes the corn. Amelia moved the tie to the container. The container is in the TV_room. Amelia exited the TV_room. Isabella entered the TV_room.,Where does Isabella think that Amelia searches for the tie?,bucket,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_0_tom,second_order_false_belief
Jacob entered the bedroom. Isla entered the bedroom. Noah entered the bedroom. The lemon is in the box. The box is in the bedroom. Isla moved the lemon to the container. The container is in the bedroom. Noah exited the bedroom. Isla exited the bedroom. Noah entered the bedroom.,Where will Isla look for the lemon?,container,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_0_no_tom,second_order_false_belief
Emma entered the staircase. Evelyn entered the staircase. Emily entered the staircase. The turnip is in the bathtub. The bathtub is in the staircase. Emily hates the watermelon. Emma exited the staircase. Evelyn moved the turnip to the crate. The crate is in the staircase. Evelyn loves the beans.,Where will Emma look for the turnip?,bathtub,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj']",first_order_0_tom,false_belief
Elizabeth entered the living_room. Oliver loves the pants. Owen entered the living_room. The gloves is in the basket. The basket is in the living_room. Elizabeth exited the living_room. Oliver entered the attic. Owen dislikes the turnip. Owen moved the gloves to the drawer. The drawer is in the living_room.,Where was the gloves at the beginning?,basket,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters']",memory,false_belief
Jackson likes the shoes. Owen entered the attic. Jackson entered the attic. The pear is in the bottle. The bottle is in the attic. Owen exited the attic. Jackson moved the pear to the basket. The basket is in the attic.,Where does Owen think that Jackson searches for the pear?,bottle,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj']",second_order_0_tom,false_belief
Ethan entered the garden. Alexander hates the cap. Alexander is in the bedroom. Avery entered the bedroom. The radish is in the container. The container is in the bedroom. Alexander exited the bedroom. Alexander entered the garden. Avery moved the radish to the crate. The crate is in the bedroom.,Where will Alexander look for the radish?,container,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_0_moves_obj']",first_order_0_tom,true_belief
Ava entered the TV_room. Owen entered the TV_room. Mason dislikes the slacks. The sweet_potato is in the bottle. The bottle is in the TV_room. Mason hates the cap. Ava moved the sweet_potato to the drawer. The drawer is in the TV_room. Owen exited the TV_room.,Where does Ava think that Owen searches for the sweet_potato?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",second_order_0_no_tom,true_belief
Nathan entered the sunroom. Amelia entered the pantry. Olivia dislikes the green_pepper. Olivia entered the pantry. Olivia hates the onion. The gloves is in the bathtub. The bathtub is in the pantry. Olivia moved the gloves to the treasure_chest. The treasure_chest is in the pantry. Amelia exited the pantry.,Where was the gloves at the beginning?,bathtub,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",memory,true_belief
Hannah entered the basement. Olivia entered the basement. Hannah loves the tangerine. The stockings is in the bottle. The bottle is in the basement. Olivia moved the stockings to the treasure_chest. The treasure_chest is in the basement. Hannah exited the basement.,Where will Olivia look for the stockings?,treasure_chest,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Mia entered the office. Abigail entered the office. The plum is in the box. The box is in the office. Abigail exited the office. Abigail hates the banana. Mia moved the plum to the crate. The crate is in the office. Abigail entered the hallway. Isabella entered the hallway. Abigail likes the celery.,Where was the plum at the beginning?,box,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_alt_loc', 'agent_2_enters']",memory,false_belief
Emily entered the den. Liam entered the back_yard. Owen entered the den. The eggplant is in the basket. The basket is in the den. Emily dislikes the onion. Owen dislikes the raincoat. Emily moved the eggplant to the suitcase. The suitcase is in the den. Owen exited the den. Owen entered the den.,Where will Owen look for the eggplant?,suitcase,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,true_belief
Jack dislikes the orange. Carter entered the workshop. Jack entered the workshop. Jack hates the hat. The coat is in the drawer. The drawer is in the workshop. Carter moved the coat to the bathtub. The bathtub is in the workshop. Jack exited the workshop. Carter exited the workshop. Jack entered the workshop.,Where was the coat at the beginning?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",memory,second_order_false_belief
Emma entered the dining_room. Elizabeth entered the dining_room. The spinach is in the bucket. The bucket is in the dining_room. Aiden entered the dining_room. Aiden exited the dining_room. Elizabeth moved the spinach to the envelope. The envelope is in the dining_room. Emma exited the dining_room. Elizabeth exited the dining_room. Emma entered the dining_room.,Where will Elizabeth look for the spinach?,envelope,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,second_order_false_belief
Isla entered the lounge. Elizabeth entered the lounge. The tangerine is in the crate. The crate is in the lounge. Isla exited the lounge. Elizabeth moved the tangerine to the drawer. The drawer is in the lounge.,Where is the tangerine really?,drawer,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj']",reality,false_belief
Abigail is in the back_yard. William entered the back_yard. The radish is in the bucket. The bucket is in the back_yard. Abigail exited the back_yard. William moved the radish to the drawer. The drawer is in the back_yard. Abigail entered the sunroom. Abigail loves the shirt.,Where is the radish really?,drawer,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_alt_loc']",reality,false_belief
Jacob entered the lounge. Emily entered the lounge. Jayden dislikes the eggplant. The celery is in the bottle. The bottle is in the lounge. Jacob likes the shirt. Jacob moved the celery to the drawer. The drawer is in the lounge. Emily exited the lounge. Jayden entered the lounge. Emily entered the lounge.,Where does Emily think that Jacob searches for the celery?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_2_enters']",second_order_1_no_tom,true_belief
Noah entered the lounge. Owen entered the lounge. Charlotte hates the hat. The sweater is in the treasure_chest. The treasure_chest is in the lounge. Owen exited the lounge. Owen entered the lounge. Noah moved the sweater to the envelope. The envelope is in the lounge.,Where is the sweater really?,envelope,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",reality,true_belief
Benjamin entered the patio. Ava entered the patio. Jayden entered the patio. The stockings is in the cupboard. The cupboard is in the patio. Ava moved the stockings to the container. The container is in the patio. Benjamin exited the patio.,Where does Ava think that Benjamin searches for the stockings?,container,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits']",second_order_1_no_tom,true_belief
Hannah entered the closet. Chloe entered the closet. The carrot is in the basket. The basket is in the closet. Hannah exited the closet. Chloe moved the carrot to the container. The container is in the closet. Chloe exited the closet. Hannah likes the boots. Liam entered the attic. Hannah entered the closet.,Where does Chloe think that Hannah searches for the carrot?,basket,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc', 'agent_2_enters']",second_order_1_tom,second_order_false_belief
Carter entered the pantry. Mila entered the study. Charlotte entered the pantry. Carter loves the lime. Mila exited the study. The orange is in the drawer. The drawer is in the pantry. Charlotte exited the pantry. Carter moved the orange to the bucket. The bucket is in the pantry. Carter exited the pantry. Charlotte loves the lettuce. Charlotte entered the study.,Where does Carter think that Charlotte searches for the orange?,drawer,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_2_exits', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_alt_loc']",second_order_0_tom,second_order_false_belief
Charlotte hates the raincoat. Charlotte likes the scarf. Carter entered the pantry. Charlotte entered the pantry. Lily entered the pantry. The coat is in the box. The box is in the pantry. Carter moved the coat to the basket. The basket is in the pantry. Lily exited the pantry.,Where does Lily think that Carter searches for the coat?,basket,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",second_order_1_no_tom,true_belief
Aiden entered the office. Lucas dislikes the radish. Carter entered the office. The cherry is in the cupboard. The cupboard is in the office. Carter exited the office. Carter dislikes the pants. Lucas entered the staircase. Carter entered the office. Aiden moved the cherry to the bucket. The bucket is in the office.,Where is the cherry really?,bucket,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_2_enters', 'agent_0_moves_obj']",reality,true_belief
William loves the cap. William entered the living_room. Evelyn entered the living_room. William likes the grapes. Logan entered the living_room. The carrot is in the envelope. The envelope is in the living_room. William moved the carrot to the box. The box is in the living_room. Logan exited the living_room. Evelyn exited the living_room. William exited the living_room. Evelyn entered the living_room.,Where does William think that Evelyn searches for the carrot?,box,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_exits', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_0_no_tom,second_order_false_belief
Abigail entered the crawlspace. Amelia entered the basement. James entered the basement. The celery is in the crate. The crate is in the basement. James exited the basement. Abigail exited the crawlspace. Amelia moved the celery to the container. The container is in the basement. Amelia exited the basement. James entered the crawlspace.,Where was the celery at the beginning?,crate,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",memory,second_order_false_belief
Ella likes the carrot. Ella entered the basement. Mason entered the basement. The coat is in the cupboard. The cupboard is in the basement. Mason exited the basement. Ella moved the coat to the basket. The basket is in the basement. Mason likes the peas. Mia entered the TV_room.,Where does Mason think that Ella searches for the coat?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters']",second_order_1_tom,false_belief
Oliver entered the office. Amelia likes the jacket. Amelia entered the office. The green_pepper is in the bathtub. The bathtub is in the office. Oliver loves the slacks. Oliver exited the office. Amelia moved the green_pepper to the basket. The basket is in the office. Oliver entered the playroom.,Where will Oliver look for the green_pepper?,bathtub,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_alt_loc']",first_order_0_tom,false_belief
Lucas loves the suit. Lucas entered the closet. Isla entered the closet. The sweet_potato is in the suitcase. The suitcase is in the closet. Lucas moved the sweet_potato to the box. The box is in the closet. Jackson entered the closet. Isla exited the closet. Isla entered the laundry.,Where was the sweet_potato at the beginning?,suitcase,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters', 'agent_1_reenters_alt_loc']",memory,true_belief
Jackson entered the pantry. Mila loves the socks. Mila entered the pantry. The dress is in the box. The box is in the pantry. Benjamin loves the peas. Jackson exited the pantry. Mila moved the dress to the envelope. The envelope is in the pantry. Jackson entered the master_bedroom.,Where does Mila think that Jackson searches for the dress?,box,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_alt_loc']",second_order_1_tom,false_belief
Lucas entered the patio. Lily entered the patio. The lemon is in the bucket. The bucket is in the patio. Benjamin entered the patio. Lucas moved the lemon to the bathtub. The bathtub is in the patio. Benjamin exited the patio. Lily exited the patio.,Where will Lily look for the lemon?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits', 'agent_2_exits']",first_order_1_no_tom,true_belief
Jackson entered the porch. Jack entered the porch. The tangerine is in the bucket. The bucket is in the porch. Jack exited the porch. Jack loves the potato. Jackson moved the tangerine to the cupboard. The cupboard is in the porch. Jack entered the porch.,Where is the tangerine really?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_loc']",reality,false_belief
Aiden entered the living_room. Hunter entered the living_room. The plum is in the basket. The basket is in the living_room. Hunter moved the plum to the treasure_chest. The treasure_chest is in the living_room. Aiden dislikes the apple. Aiden exited the living_room.,Where will Hunter look for the plum?,treasure_chest,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Evelyn entered the back_yard. Mia entered the back_yard. Mia dislikes the slacks. Nathan entered the back_yard. The peas is in the drawer. The drawer is in the back_yard. Evelyn moved the peas to the treasure_chest. The treasure_chest is in the back_yard. Mia exited the back_yard.,Where will Mia look for the peas?,treasure_chest,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Charlotte entered the cellar. Elizabeth entered the cellar. Aria hates the stockings. The slippers is in the bottle. The bottle is in the cellar. Charlotte moved the slippers to the basket. The basket is in the cellar. Charlotte loves the skirt. Elizabeth exited the cellar. Charlotte exited the cellar. Elizabeth entered the cellar.,Where will Elizabeth look for the slippers?,basket,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,second_order_false_belief
Owen entered the basement. Hannah dislikes the peas. Isla entered the laundry. Hannah entered the basement. The hat is in the box. The box is in the basement. Isla exited the laundry. Owen exited the basement. Hannah loves the eggplant. Hannah moved the hat to the drawer. The drawer is in the basement.,Where does Owen think that Hannah searches for the hat?,box,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_1_exits', 'agent_2_exits', 'agent_0_moves_obj']",second_order_0_tom,false_belief
Olivia entered the sunroom. Charlotte entered the sunroom. Mason entered the sunroom. The boots is in the container. The container is in the sunroom. Mason exited the sunroom. Charlotte exited the sunroom. Olivia moved the boots to the treasure_chest. The treasure_chest is in the sunroom. Mason entered the sunroom. Mason loves the sweet_potato.,Where will Mason look for the boots?,treasure_chest,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,false_belief
James entered the hallway. Aiden entered the hallway. The skirt is in the crate. The crate is in the hallway. Olivia entered the bedroom. Olivia dislikes the sweet_potato. James exited the hallway. Olivia exited the bedroom. Aiden moved the skirt to the drawer. The drawer is in the hallway.,Where was the skirt at the beginning?,crate,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_2_enters', 'agent_0_moves_obj', 'agent_2_exits']",memory,false_belief
Charlotte entered the patio. Lucas likes the sweater. Lucas entered the patio. The tomato is in the crate. The crate is in the patio. Lucas exited the patio. Lucas entered the patio. Charlotte moved the tomato to the bucket. The bucket is in the patio. Charlotte dislikes the onion.,Where was the tomato at the beginning?,crate,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",memory,true_belief
Hannah entered the kitchen. Isla entered the kitchen. The slippers is in the bathtub. The bathtub is in the kitchen. Hunter entered the kitchen. Isla likes the pumpkin. Hannah moved the slippers to the suitcase. The suitcase is in the kitchen. Isla exited the kitchen. Isla entered the kitchen.,Where was the slippers at the beginning?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits', 'agent_1_reenters_loc']",memory,true_belief
Ella entered the hall. Alexander entered the hall. The shoes is in the basket. The basket is in the hall. Alexander exited the hall. Jack entered the hall. Ella moved the shoes to the container. The container is in the hall. Jack exited the hall. Jack likes the gloves. Ella exited the hall. Alexander entered the basement.,Where was the shoes at the beginning?,basket,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters', 'agent_0_exits', 'agent_2_exits', 'agent_1_reenters_alt_loc']",memory,second_order_false_belief
Jack dislikes the turnip. Jack entered the porch. Mason entered the sunroom. Mason exited the sunroom. Hannah entered the porch. The undershirt is in the bucket. The bucket is in the porch. Jack moved the undershirt to the container. The container is in the porch. Hannah loves the tomato. Hannah exited the porch.,Where does Hannah think that Jack searches for the undershirt?,container,"['enter_agent_0', 'agent_2_enters', 'agent_2_exits', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",second_order_1_no_tom,true_belief
Alexander entered the basement. Aiden entered the basement. Alexander likes the scarf. The plum is in the cupboard. The cupboard is in the basement. Aiden exited the basement. Alexander moved the plum to the bucket. The bucket is in the basement.,Where is the plum really?,bucket,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj']",reality,false_belief
Owen entered the garage. Nathan entered the garage. The potato is in the envelope. The envelope is in the garage. Oliver entered the office. Oliver exited the office. Nathan moved the potato to the cupboard. The cupboard is in the garage. Owen exited the garage.,Where will Owen look for the potato?,cupboard,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits']",first_order_0_no_tom,true_belief
Jayden entered the TV_room. Aiden entered the TV_room. The t-shirt is in the bucket. The bucket is in the TV_room. Jayden exited the TV_room. Aiden moved the t-shirt to the suitcase. The suitcase is in the TV_room. Aiden exited the TV_room. Jayden entered the TV_room.,Where does Jayden think that Aiden searches for the t-shirt?,bucket,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_0_tom,second_order_false_belief
Benjamin entered the laundry. Emily entered the laundry. The watermelon is in the basket. The basket is in the laundry. Benjamin likes the skirt. Jackson entered the garden. Benjamin moved the watermelon to the suitcase. The suitcase is in the laundry. Emily dislikes the celery. Emily exited the laundry. Benjamin exited the laundry. Jackson exited the garden. Emily entered the laundry.,Where was the watermelon at the beginning?,basket,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc', 'agent_2_exits']",memory,second_order_false_belief
Jacob entered the den. Oliver entered the patio. James entered the patio. Jacob loves the jacket. The underclothes is in the box. The box is in the patio. Oliver moved the underclothes to the bottle. The bottle is in the patio. Jacob hates the pajamas. James exited the patio. Jacob exited the den. James entered the den.,Where does James think that Oliver searches for the underclothes?,bottle,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_2_exits']",second_order_1_no_tom,true_belief
Abigail dislikes the tangerine. James entered the dining_room. Isla entered the dining_room. Abigail likes the stockings. The spinach is in the basket. The basket is in the dining_room. Abigail entered the den. Isla moved the spinach to the envelope. The envelope is in the dining_room. James exited the dining_room.,Where will James look for the spinach?,envelope,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits']",first_order_0_no_tom,true_belief
Elizabeth entered the kitchen. Chloe entered the kitchen. Lily entered the attic. The peas is in the treasure_chest. The treasure_chest is in the kitchen. Chloe exited the kitchen. Elizabeth moved the peas to the envelope. The envelope is in the kitchen.,Where does Elizabeth think that Chloe searches for the peas?,treasure_chest,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj']",second_order_0_tom,false_belief
Isla entered the attic. Jacob entered the attic. Liam entered the attic. The asparagus is in the treasure_chest. The treasure_chest is in the attic. Isla exited the attic. Isla loves the tangerine. Liam moved the asparagus to the basket. The basket is in the attic. Isla entered the attic. Isla likes the spinach.,Where does Isla think that Liam searches for the asparagus?,basket,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_1_reenters_loc']",second_order_0_no_tom,false_belief
Owen entered the sunroom. Carter is in the sunroom. The beans is in the drawer. The drawer is in the sunroom. Carter dislikes the stockings. Carter exited the sunroom. Carter entered the cellar. Owen moved the beans to the container. The container is in the sunroom.,Where does Carter think that Owen searches for the beans?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_0_moves_obj']",second_order_1_tom,true_belief
Jayden entered the playroom. Isla is in the playroom. The green_pepper is in the container. The container is in the playroom. Olivia entered the playroom. Olivia exited the playroom. Jayden likes the cabbage. Jayden moved the green_pepper to the cupboard. The cupboard is in the playroom. Isla exited the playroom. Olivia dislikes the plum. Jayden exited the playroom. Isla entered the playroom.,Where does Isla think that Jayden searches for the green_pepper?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_1_no_tom,second_order_false_belief
James dislikes the sweater. Sophia entered the front_yard. Aiden entered the front_yard. The cherry is in the box. The box is in the front_yard. Aiden moved the cherry to the envelope. The envelope is in the front_yard. James entered the front_yard. Sophia exited the front_yard.,Where will Aiden look for the cherry?,envelope,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters']",first_order_1_no_tom,true_belief
Jayden entered the attic. Isla entered the attic. The tangerine is in the suitcase. The suitcase is in the attic. Jayden exited the attic. Isla moved the tangerine to the treasure_chest. The treasure_chest is in the attic. Isla exited the attic. Jayden loves the undershirt. Jayden entered the attic. Ava entered the attic.,Where does Isla think that Jayden searches for the tangerine?,suitcase,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc', 'agent_2_enters']",second_order_1_tom,second_order_false_belief
Mia entered the dining_room. Isabella entered the dining_room. Jacob entered the dining_room. The undershirt is in the container. The container is in the dining_room. Jacob moved the undershirt to the cupboard. The cupboard is in the dining_room. Isabella exited the dining_room. Mia exited the dining_room.,Where is the undershirt really?,cupboard,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_exits']",reality,true_belief
Carter entered the study. Nathan entered the study. The jeans is in the envelope. The envelope is in the study. Nathan moved the jeans to the suitcase. The suitcase is in the study. Carter exited the study. Nathan exited the study. Carter entered the study. Hannah loves the sweet_potato.,Where will Carter look for the jeans?,suitcase,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_0_no_tom,second_order_false_belief
Aiden loves the lettuce. Aiden entered the closet. Nathan entered the closet. Jayden entered the closet. The scarf is in the envelope. The envelope is in the closet. Aiden exited the closet. Aiden loves the shoes. Nathan moved the scarf to the container. The container is in the closet.,Where is the scarf really?,container,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj']",reality,false_belief
Liam entered the porch. Owen entered the porch. The sweet_potato is in the box. The box is in the porch. Liam exited the porch. Liam entered the porch. Owen moved the sweet_potato to the container. The container is in the porch.,Where does Liam think that Owen searches for the sweet_potato?,container,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",second_order_0_no_tom,true_belief
Sophia entered the living_room. Evelyn entered the living_room. The socks is in the bathtub. The bathtub is in the living_room. Evelyn exited the living_room. Sophia moved the socks to the suitcase. The suitcase is in the living_room. Sophia exited the living_room. Evelyn entered the hall.,Where does Sophia think that Evelyn searches for the socks?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_alt_loc']",second_order_0_tom,second_order_false_belief
William entered the cellar. Ethan likes the socks. Nathan entered the cellar. Ethan entered the cellar. Ethan hates the pants. The shoes is in the basket. The basket is in the cellar. Nathan moved the shoes to the bottle. The bottle is in the cellar. Ethan exited the cellar. William exited the cellar.,Where will William look for the shoes?,bottle,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_exits']",first_order_0_no_tom,true_belief
William entered the den. Noah likes the radish. Noah entered the den. The pajamas is in the envelope. The envelope is in the den. Noah exited the den. William moved the pajamas to the container. The container is in the den. William hates the socks.,Where will Noah look for the pajamas?,envelope,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj']",first_order_1_tom,false_belief
